scenario,horizon_years,fold,model,train_rows,train_failures,validation_rows,validation_failures,test_rows,test_failures,selected_c,calibrator_kind,calibrator_intercept,calibrator_slope,roc_auc,average_precision,brier_score,log_loss,spearman,calibration_intercept,calibration_slope,expected_calibration_error
migration_alpha,5,1,distress_logit,2378,101,4298,155,6523,213,0.01,platt,0.9412633827463748,1.4045936452783578,0.5330498575180613,0.0382231496618114,0.0316622785245014,0.1447012427857584,0.020347793544066,-2.256076516737721,0.3431693680885782,0.0079255102289098
migration_alpha,5,1,industry_rate,2378,101,4298,155,6523,213,,platt,-4.096995178401341,-0.2335842544372411,0.5489821655766612,0.0418108036694901,0.0315571097107958,0.14341877056666,0.0302664576124033,-0.2839417435596692,0.941861003373762,0.0087648548395853
migration_alpha,5,1,occupied_cell_rate,2378,101,4298,155,6523,213,,platt,-4.304157981149836,-0.3155536918579104,0.5182856781470652,0.0340907264202244,0.0315997763277448,0.1439884785346885,0.0112727299720715,-0.2864158114109035,0.94279098425909,0.0050447277828852
migration_alpha,5,1,relative_axes_logit,2378,101,4298,155,6523,213,0.01,platt,-0.2924824368239099,0.9402337012269676,0.5206643452899117,0.0369904050045397,0.0316147632936528,0.1441673618982167,0.0127224098166862,-1.986210604803428,0.4269392402798934,0.0065854132320161
migration_alpha,5,1,combined_axes_logit,2378,101,4298,155,6523,213,0.01,platt,-0.2829844348853204,0.9292170808271072,0.5260637783382811,0.0382477717728509,0.0316349108818741,0.1444223867703909,0.0160466767632248,-2.114202867862221,0.3889303671351801,0.0089742849202862
migration_alpha,5,1,hist_gradient_boosting,2378,101,4298,155,6523,213,,platt,-2.5213227972496752,0.2015261218342407,0.5546773509519877,0.0431658603892551,0.0315659791389947,0.1435115403896878,0.0336631844206736,-0.2897896133593663,0.9506538423693626,0.0051044957810311
migration_alpha,5,2,profitability_logit,5433,215,5497,198,7498,296,0.1,platt,-0.2939511696416532,0.9416641176200652,0.5886155872617966,0.0548466930846547,0.0378290945494359,0.1650307570609135,0.0597761203741602,3.2840920734627166,1.970480982966748,0.0062731561196074
migration_alpha,5,2,distress_logit,5433,215,5497,198,7498,296,0.01,platt,-0.3096811014895344,0.9644432275495972,0.5738472608959972,0.054582562512902,0.0378205268498195,0.1650082124890894,0.0498140664980304,1.4086593009356851,1.4114768018906227,0.0083522829039423
migration_alpha,5,2,industry_rate,5433,215,5497,198,7498,296,,platt,-3.758086886601816,-0.1436550710561936,0.4784326988749371,0.0370054629900329,0.0379511912915862,0.1667465220978206,-0.0146012047589843,-0.2706247723131394,0.88726384992154,0.0117652986556541
migration_alpha,5,2,occupied_cell_rate,5433,215,5497,198,7498,296,,platt,-2.249137080678587,0.3195143759963689,0.5358229133048626,0.0465704732206884,0.0379060849405367,0.1661716815806015,0.0241801063473023,-0.2702058126125457,0.8896516403537257,0.0048591077385785
migration_alpha,5,2,relative_axes_logit,5433,215,5497,198,7498,296,0.01,platt,-2.12893648981502,0.3572219661382687,0.5529319933652064,0.050602140434692,0.0378919617085484,0.1659252375666425,0.0357055604443824,-0.270833584234772,0.8922382183081803,0.0054303479709096
migration_alpha,5,2,combined_axes_logit,5433,215,5497,198,7498,296,0.01,platt,-2.4645281905578944,0.2509802065260631,0.5498894826512155,0.0479922996044659,0.0379016093128731,0.166049495068549,0.0336532184996619,-0.2707371730112543,0.8914376036754331,0.0068291316850802
migration_alpha,5,2,hist_gradient_boosting,5433,215,5497,198,7498,296,,platt,-3.3726371925249445,-0.0251125054028741,0.496671814135713,0.0381675619989332,0.0379327888115463,0.1664763135958599,-0.0022450456516577,-0.2701026229106445,0.8881985090912176,0.007906884458729
migration_alpha,5,3,profitability_logit,9731,370,6523,213,8262,265,0.01,platt,-1.7798546229289949,0.4977316809466542,0.56087495074804,0.0434327978202824,0.0310059238158879,0.1412493123576474,0.0371561359626453,4.6339853843456185,2.374089743598642,0.0044780360177583
migration_alpha,5,3,distress_logit,9731,370,6523,213,8262,265,0.01,platt,-1.9596233325880992,0.4414960813588585,0.5526095870857232,0.0408485383692344,0.0310158622701854,0.1414074450833858,0.0321112205706171,3.863937225658512,2.148498117245659,0.0057614088557207
migration_alpha,5,3,industry_rate,9731,370,6523,213,8262,265,,platt,-2.956361952600021,0.1324552483337759,0.5301405479885146,0.034178855369373,0.0310405987991592,0.14179707843948,0.0184630717133056,-0.272991050987191,0.9255175183362856,0.0052346645194641
migration_alpha,5,3,occupied_cell_rate,9731,370,6523,213,8262,265,,platt,-3.154937165638123,0.0701559586949105,0.5286487149662256,0.0353264539018544,0.0310409783324651,0.1418050726773953,0.0174899789707242,-0.2732402653850753,0.925866079692204,0.0040501084079434
migration_alpha,5,3,relative_axes_logit,9731,370,6523,213,8262,265,0.01,platt,-2.020544672379818,0.4225991914230356,0.5598436677905158,0.0400054498762633,0.0310104562067109,0.1413086477230625,0.0365266736103931,4.038242913556011,2.198464310121747,0.0039469135631265
migration_alpha,5,3,combined_axes_logit,9731,370,6523,213,8262,265,0.01,platt,-1.9329905038751325,0.4508023669612289,0.564795996611937,0.0397346220228523,0.0310025888793688,0.1411820307733212,0.0395494177895202,2.4924515925708377,1.758301430544888,0.0030532448708755
migration_alpha,5,3,hist_gradient_boosting,9731,370,6523,213,8262,265,,platt,-2.111625635265015,0.3817901818775979,0.5625114134781676,0.037787324808861,0.0310190281818887,0.1412500972796587,0.0381549808233187,-0.2767422530837827,0.9342955496477672,0.0052297895201449
migration_alpha,5,4,profitability_logit,15228,568,7498,296,8964,343,10.0,platt,1.1068278282211592,1.3213165443556028,0.5906656165042781,0.0589702100073245,0.0366543283100405,0.1605121411022588,0.0602500316553749,0.0292244607042067,1.0198744045747117,0.004106642056686
migration_alpha,5,4,distress_logit,15228,568,7498,296,8964,343,0.01,platt,1.1706936294820574,1.3621745585079543,0.5637586434643456,0.048768369695418,0.0367397247819185,0.1615065389665124,0.0423695380359468,-0.8548199430197081,0.7388536179914553,0.0036700303336261
migration_alpha,5,4,industry_rate,15228,568,7498,296,8964,343,,platt,-2.516327714905058,0.2067596433252562,0.5065020224869572,0.0392615140831335,0.0368049284053474,0.1624518393271564,0.0043361440060119,-0.2885096079030951,0.920101671974594,0.0074609140159598
migration_alpha,5,4,occupied_cell_rate,15228,568,7498,296,8964,343,,platt,-2.4892358117452065,0.2114079228375452,0.5213269989918847,0.0442306120104832,0.0367911092440804,0.1622751783953642,0.0141736646121084,-0.2877145276468373,0.9198248957914332,0.0064271349869217
migration_alpha,5,4,relative_axes_logit,15228,568,7498,296,8964,343,0.01,platt,-0.2756323523847973,0.9028274181981484,0.5664722017529235,0.0445888737106989,0.0367512828109965,0.161632708751754,0.0441727792123998,-0.2796481733372574,0.9112501465583376,0.0047172278926239
migration_alpha,5,4,combined_axes_logit,15228,568,7498,296,8964,343,0.01,platt,-0.276608417694256,0.9022300061332732,0.5555026491349518,0.0434241869589571,0.0368034202779745,0.1621441645047539,0.0368831812590546,-1.2734940239681931,0.6142604534833083,0.0044793869553525
migration_alpha,5,4,hist_gradient_boosting,15228,568,7498,296,8964,343,,platt,-2.842927084694158,0.1083890906826985,0.5010120043841687,0.0374520492778132,0.0368090356516814,0.1624980106259196,0.0006725073797409,-0.2885654747590759,0.9199355083305136,0.0051419978541731
regime_shift,3,1,profitability_logit,4936,121,4707,94,6424,132,10.0,platt,1.0972557955740356,1.3574128858803538,0.4876887919243291,0.0209009035761778,0.0202189906250758,0.102432658779994,-0.0060501632061029,-4.299586599589533,-0.109927728724532,0.0093409459671286
regime_shift,3,1,distress_logit,4936,121,4707,94,6424,132,0.01,platt,-0.2642227744659584,0.9828715081581784,0.5048353850006743,0.0209292358200811,0.0201428190627905,0.1005870456432234,0.002376279260216,-3.411303907931914,0.1152470217744869,0.0037941917143993
regime_shift,3,1,industry_rate,4936,121,4707,94,6424,132,,platt,-3.6408391851773096,0.0649254147893001,0.5290183301546938,0.0215833501694192,0.020125600319671,0.1001592962505521,0.0143121227200033,-0.2392704750889318,0.9314883751893764,0.0066590623881292
regime_shift,3,1,occupied_cell_rate,4936,121,4707,94,6424,132,,platt,-3.5883554365301515,0.079464578003295,0.4769217524899343,0.0204317414232098,0.020129263020448,0.1002570228973846,-0.0113496507700247,-0.2393952028659244,0.931062689828414,0.0045012149663558
regime_shift,3,1,relative_axes_logit,4936,121,4707,94,6424,132,0.01,platt,-0.2600922964076101,0.9750705701845968,0.465492496484232,0.018941916906069,0.0201685176862414,0.1012387343243027,-0.0169582080694823,-5.737329757610892,-0.4768970618401359,0.0083098036750931
regime_shift,3,1,combined_axes_logit,4936,121,4707,94,6424,132,0.01,platt,-1.14359217264211,0.7318536340698287,0.4741205763933036,0.0191176977936256,0.0201621780301293,0.1010392643919659,-0.0127180643491086,-5.145259279731021,-0.3268314957113082,0.0055803743641408
regime_shift,3,1,hist_gradient_boosting,4936,121,4707,94,6424,132,,platt,-3.5581819867919973,0.0774841224000725,0.4789439210926813,0.0200504785103202,0.0201307217191446,0.1002908807221419,-0.0103477021171959,-0.2400830031739041,0.9320613254724897,0.0036012008583647
regime_shift,3,2,profitability_logit,8957,178,5810,148,7414,134,0.01,platt,-2.1711382361768985,0.376650115694679,0.5237504100377235,0.0214833485863279,0.0178062533255897,0.0917392137833312,0.0109604212492117,-0.2817033678680473,1.0230374263006867,0.0077695087134021
regime_shift,3,2,distress_logit,8957,178,5810,148,7414,134,0.01,platt,-0.2250486454864043,0.8774067374730918,0.5149376742660324,0.0209007491785866,0.017837466036608,0.0922764809817992,0.0068934895094096,-3.3037856508263674,0.1917630277795125,0.0087915195768418
regime_shift,3,2,industry_rate,8957,178,5810,148,7414,134,,platt,-1.815957365555171,0.4634885987863926,0.540765950467443,0.0194608991009019,0.0178137453313802,0.091631893185116,0.0188798673096003,-0.2797084784346665,1.0189736222250314,0.0074555252002953
regime_shift,3,2,occupied_cell_rate,8957,178,5810,148,7414,134,,platt,-2.7227446522590464,0.2291691913342254,0.5045509061833688,0.0211151610687883,0.0178077613675722,0.0917263275907597,0.0021007513094415,-0.2783427364512357,1.0159711074022286,0.0076297013708032
regime_shift,3,2,relative_axes_logit,8957,178,5810,148,7414,134,0.01,platt,-0.221981582644389,0.8726874240103163,0.5529589347219944,0.0244464617895852,0.0177845155656411,0.0912547640645606,0.0244396720968712,-0.2768460546378336,1.016818941864038,0.0071867974416496
regime_shift,3,2,combined_axes_logit,8957,178,5810,148,7414,134,0.01,platt,-1.147047762565188,0.6329369409051869,0.5519143636214532,0.0238360230585785,0.0177960750318668,0.0914773867263935,0.0239576198178156,-0.2806146292239879,1.0230623466562605,0.0077284758205242
