cell_id,observations,firms,share
012220,2,2,3.3954704424297986e-05
012200,2,2,3.3954704424297986e-05
202201,2,2,3.3954704424297986e-05
011220,2,2,3.3954704424297986e-05
222001,2,2,3.3954704424297986e-05
001022,2,2,3.3954704424297986e-05
221202,2,2,3.3954704424297986e-05
222102,2,2,3.3954704424297986e-05
000220,2,2,3.3954704424297986e-05
220022,2,2,3.3954704424297986e-05
002020,2,2,3.3954704424297986e-05
222201,2,2,3.3954704424297986e-05
020022,2,2,3.3954704424297986e-05
201102,2,2,3.3954704424297986e-05
201200,2,2,3.3954704424297986e-05
010020,2,2,3.3954704424297986e-05
210002,2,2,3.3954704424297986e-05
200102,2,2,3.3954704424297986e-05
210202,2,2,3.3954704424297986e-05
122200,2,2,3.3954704424297986e-05
001020,2,2,3.3954704424297986e-05
020020,2,2,3.3954704424297986e-05
200020,2,2,3.3954704424297986e-05
212001,2,2,3.3954704424297986e-05
021202,2,2,3.3954704424297986e-05
022120,2,2,3.3954704424297986e-05
002210,2,2,3.3954704424297986e-05
002220,2,2,3.3954704424297986e-05
000022,1,1,1.6977352212148993e-05
202202,1,1,1.6977352212148993e-05
202102,1,1,1.6977352212148993e-05
202020,1,1,1.6977352212148993e-05
012202,1,1,1.6977352212148993e-05
000021,1,1,1.6977352212148993e-05
222100,1,1,1.6977352212148993e-05
222000,1,1,1.6977352212148993e-05
202210,1,1,1.6977352212148993e-05
020220,1,1,1.6977352212148993e-05
010202,1,1,1.6977352212148993e-05
200022,1,1,1.6977352212148993e-05
200200,1,1,1.6977352212148993e-05
210022,1,1,1.6977352212148993e-05
010220,1,1,1.6977352212148993e-05
210200,1,1,1.6977352212148993e-05
002202,1,1,1.6977352212148993e-05
220020,1,1,1.6977352212148993e-05
212200,1,1,1.6977352212148993e-05
022020,1,1,1.6977352212148993e-05
212202,1,1,1.6977352212148993e-05
212201,1,1,1.6977352212148993e-05
001220,1,1,1.6977352212148993e-05
022200,1,1,1.6977352212148993e-05
