scenario,horizon_years,fold,model,candidate,validation_brier
migration_alpha,5,3,distress_logit,C=10,0.0316430378557263
migration_alpha,5,3,industry_rate,sic2_smoothed_rate,0.0317563623735033
migration_alpha,5,3,occupied_cell_rate,training_tertile_729_cell_rate,0.031901831859621
migration_alpha,5,3,relative_axes_logit,C=0.01,0.0316514858608254
migration_alpha,5,3,relative_axes_logit,C=0.1,0.0316802502992
migration_alpha,5,3,relative_axes_logit,C=1,0.0316850108257917
migration_alpha,5,3,relative_axes_logit,C=10,0.0316855226010151
migration_alpha,5,3,combined_axes_logit,C=0.01,0.0316646481255038
migration_alpha,5,3,combined_axes_logit,C=0.1,0.0316764996551457
migration_alpha,5,3,combined_axes_logit,C=1,0.0316752530257276
migration_alpha,5,3,combined_axes_logit,C=10,0.0316760572192572
migration_alpha,5,3,hist_gradient_boosting,fixed_constrained_tree,0.0318415568874073
migration_alpha,5,4,profitability_logit,C=0.01,0.0377885403559438
migration_alpha,5,4,profitability_logit,C=0.1,0.037782357277083
migration_alpha,5,4,profitability_logit,C=1,0.0377818310575426
migration_alpha,5,4,profitability_logit,C=10,0.0377817794626872
migration_alpha,5,4,distress_logit,C=0.01,0.0377863353047328
migration_alpha,5,4,distress_logit,C=0.1,0.0377987998416542
migration_alpha,5,4,distress_logit,C=1,0.0378051968649462
migration_alpha,5,4,distress_logit,C=10,0.0378040708356393
migration_alpha,5,4,industry_rate,sic2_smoothed_rate,0.0379794988147928
migration_alpha,5,4,occupied_cell_rate,training_tertile_729_cell_rate,0.0381712144023215
migration_alpha,5,4,relative_axes_logit,C=0.01,0.0378174070260896
migration_alpha,5,4,relative_axes_logit,C=0.1,0.0378197371849695
migration_alpha,5,4,relative_axes_logit,C=1,0.037820595687038
migration_alpha,5,4,relative_axes_logit,C=10,0.0378206919248033
migration_alpha,5,4,combined_axes_logit,C=0.01,0.0378307533753948
migration_alpha,5,4,combined_axes_logit,C=0.1,0.0378657106881539
migration_alpha,5,4,combined_axes_logit,C=1,0.0378790437268978
migration_alpha,5,4,combined_axes_logit,C=10,0.037880822814647
migration_alpha,5,4,hist_gradient_boosting,fixed_constrained_tree,0.038313395002153
regime_shift,3,1,profitability_logit,C=0.01,0.0195384197060167
regime_shift,3,1,profitability_logit,C=0.1,0.0195288920478307
regime_shift,3,1,profitability_logit,C=1,0.0195280711742028
regime_shift,3,1,profitability_logit,C=10,0.0195280702428196
regime_shift,3,1,distress_logit,C=0.01,0.0195713410764284
regime_shift,3,1,distress_logit,C=0.1,0.0195792734473135
regime_shift,3,1,distress_logit,C=1,0.019579523484347
regime_shift,3,1,distress_logit,C=10,0.0195797383618207
regime_shift,3,1,industry_rate,sic2_smoothed_rate,0.0198269912731213
regime_shift,3,1,occupied_cell_rate,training_tertile_729_cell_rate,0.0197495135494607
regime_shift,3,1,relative_axes_logit,C=0.01,0.0195729529402596
regime_shift,3,1,relative_axes_logit,C=0.1,0.019581654223646
regime_shift,3,1,relative_axes_logit,C=1,0.0195850798071758
regime_shift,3,1,relative_axes_logit,C=10,0.0195854081966262
regime_shift,3,1,combined_axes_logit,C=0.01,0.0195738952900312
regime_shift,3,1,combined_axes_logit,C=0.1,0.0195743168976444
regime_shift,3,1,combined_axes_logit,C=1,0.0195777917184244
regime_shift,3,1,combined_axes_logit,C=10,0.019582368397282
regime_shift,3,1,hist_gradient_boosting,fixed_constrained_tree,0.0198663101611318
regime_shift,3,2,profitability_logit,C=0.01,0.0248564773211296
regime_shift,3,2,profitability_logit,C=0.1,0.0248761334496542
regime_shift,3,2,profitability_logit,C=1,0.0248811112311995
regime_shift,3,2,profitability_logit,C=10,0.0248816801047524
regime_shift,3,2,distress_logit,C=0.01,0.0248483047223785
regime_shift,3,2,distress_logit,C=0.1,0.0248752067191818
regime_shift,3,2,distress_logit,C=1,0.0248833154341851
regime_shift,3,2,distress_logit,C=10,0.024884276606942
regime_shift,3,2,industry_rate,sic2_smoothed_rate,0.0248496570217477
regime_shift,3,2,occupied_cell_rate,training_tertile_729_cell_rate,0.02490923582546
regime_shift,3,2,relative_axes_logit,C=0.01,0.024850596050256
regime_shift,3,2,relative_axes_logit,C=0.1,0.0248661641344758
regime_shift,3,2,relative_axes_logit,C=1,0.0248708736185356
regime_shift,3,2,relative_axes_logit,C=10,0.0248714459899768
regime_shift,3,2,combined_axes_logit,C=0.01,0.0248467245727114
regime_shift,3,2,combined_axes_logit,C=0.1,0.0248576162315385
regime_shift,3,2,combined_axes_logit,C=1,0.0248594860275529
regime_shift,3,2,combined_axes_logit,C=10,0.0248587545719261
regime_shift,3,2,hist_gradient_boosting,fixed_constrained_tree,0.0250899568678327
regime_shift,3,3,profitability_logit,C=0.01,0.0200687330319123
regime_shift,3,3,profitability_logit,C=0.1,0.0200900826601971
regime_shift,3,3,profitability_logit,C=1,0.0200933018959294
regime_shift,3,3,profitability_logit,C=10,0.0200936449792731
regime_shift,3,3,distress_logit,C=0.01,0.0200602996755573
regime_shift,3,3,distress_logit,C=0.1,0.02009372452751
regime_shift,3,3,distress_logit,C=1,0.0201037353166668
regime_shift,3,3,distress_logit,C=10,0.0201044700985274
regime_shift,3,3,industry_rate,sic2_smoothed_rate,0.0201217693909877
regime_shift,3,3,occupied_cell_rate,training_tertile_729_cell_rate,0.020245511092417
regime_shift,3,3,relative_axes_logit,C=0.01,0.0200404528541489
regime_shift,3,3,relative_axes_logit,C=0.1,0.0200505042434233
regime_shift,3,3,relative_axes_logit,C=1,0.0200527260955184
regime_shift,3,3,relative_axes_logit,C=10,0.0200529762020953
regime_shift,3,3,combined_axes_logit,C=0.01,0.0200551136745827
regime_shift,3,3,combined_axes_logit,C=0.1,0.0200644510355995
regime_shift,3,3,combined_axes_logit,C=1,0.0200709701566582
regime_shift,3,3,combined_axes_logit,C=10,0.0200730635334677
regime_shift,3,3,hist_gradient_boosting,fixed_constrained_tree,0.0201775318010628
regime_shift,3,4,profitability_logit,C=0.01,0.0192793819370657
regime_shift,3,4,profitability_logit,C=0.1,0.0192810109233053
regime_shift,3,4,profitability_logit,C=1,0.0192813256907793
regime_shift,3,4,profitability_logit,C=10,0.0192813582628273
regime_shift,3,4,distress_logit,C=0.01,0.0192777704050778
regime_shift,3,4,distress_logit,C=0.1,0.0192825692065866
regime_shift,3,4,distress_logit,C=1,0.0192833365374003
regime_shift,3,4,distress_logit,C=10,0.0192834182918108
regime_shift,3,4,industry_rate,sic2_smoothed_rate,0.0192752298168514
regime_shift,3,4,occupied_cell_rate,training_tertile_729_cell_rate,0.0194350185612611
regime_shift,3,4,relative_axes_logit,C=0.01,0.0192608719078863
regime_shift,3,4,relative_axes_logit,C=0.1,0.0192598177220015
regime_shift,3,4,relative_axes_logit,C=1,0.0192598342445366
regime_shift,3,4,relative_axes_logit,C=10,0.0192598390006298
regime_shift,3,4,combined_axes_logit,C=0.01,0.0192682276799443
regime_shift,3,4,combined_axes_logit,C=0.1,0.0192940008774994
regime_shift,3,4,combined_axes_logit,C=1,0.0193083546917108
regime_shift,3,4,combined_axes_logit,C=10,0.0193120592328063
regime_shift,3,4,hist_gradient_boosting,fixed_constrained_tree,0.019323255974108
regime_shift,5,1,profitability_logit,C=0.01,0.0285624290565603
regime_shift,5,1,profitability_logit,C=0.1,0.0285678285969922
regime_shift,5,1,profitability_logit,C=1,0.0285710075211337
regime_shift,5,1,profitability_logit,C=10,0.0285713709390928
regime_shift,5,1,distress_logit,C=0.01,0.0286645905894857
regime_shift,5,1,distress_logit,C=0.1,0.0287543893458568
regime_shift,5,1,distress_logit,C=1,0.0287715942278091
regime_shift,5,1,distress_logit,C=10,0.0287739630535036
regime_shift,5,1,industry_rate,sic2_smoothed_rate,0.029631228504808
regime_shift,5,1,occupied_cell_rate,training_tertile_729_cell_rate,0.0290212593757696
regime_shift,5,1,relative_axes_logit,C=0.01,0.0286251403700452
regime_shift,5,1,relative_axes_logit,C=0.1,0.0287357522463486
regime_shift,5,1,relative_axes_logit,C=1,0.0287682306820236
regime_shift,5,1,relative_axes_logit,C=10,0.0287705172679188
regime_shift,5,1,combined_axes_logit,C=0.01,0.0286888083953762
regime_shift,5,1,combined_axes_logit,C=0.1,0.0288232882423587
regime_shift,5,1,combined_axes_logit,C=1,0.0289645950731072
regime_shift,5,1,combined_axes_logit,C=10,0.0290366892922702
